id,tipo_recurso,citacao,localizacao,personagem,interpretacao
R056,hipérbole,"tudo estrago será, nem sepultura aos mortos lhe darei em parte digna",L0424-L0425,Olofernes,"A negação de sepultura é, na tradição clássica, o extremo da desumanidade. O tirano define-se por ultrapassar o limite que separa a guerra do sacrilégio."
R057,anáfora,"tudo em pó, tudo em cinza e tudo em fogo",L0435,Olofernes,"Tríade em gradação que fecha a ária de Olofernes. É pura potência verbal — e a peça encarrega-se de a desmentir, fazendo-o cair por uma mulher e um jantar."
R058,personificação,"a sua mesma cabeça será testemunha disto, pois separada do corpo hei de trazê-la comigo",L0449-L0452,Judite,"A cabeça decepada é convocada como testemunha judicial. Judite anuncia o desfecho com precisão forense, e o troféu vale como prova."
R059,metáfora,oh ânimo revestido de uma pura fé,L0456-L0457,Sacerdote,A fé é armadura. A metáfora bélica aplicada à virtude autoriza religiosamente a violência de Judite e converte iniciativa individual em causa colectiva.
R060,metáfora,já meu amo tira hoje a ferruge ao seu dinheiro,L0467-L0469,Mestre-Sala,A avareza é dita pela oxidação da moeda parada. É a primeira fala do criado e fixa de imediato a sua função: ver o senhor por dentro.
R061,metáfora,o Mestre-Sala também há de ter a sua função de lambedela,L0471-L0472,Mestre-Sala,O banquete do amo desdobra-se num banquete de criados. A metáfora do lamber marca a posição na cadeia alimentar da casa — e da peça.
R062,anacronismo,vi uma dama destas de topete alto à Zamperina,L0503-L0504,Mestre-Sala,Judite entra na tenda assíria com o penteado da cantora de ópera em voga em Lisboa. É o anacronismo mais preciso do papel e o seu melhor indício de datação relativa.
R063,trocadilho,"Minha menina, poteis intrare",L0508,Mestre-Sala,Latim de fantasia com terminação italianizante. O criado exibe língua que não domina — procedimento que se repetirá com a Velha (L0625) e com o Doutor (L0883).
R064,metáfora,por desventura da estrela foi de minha vida o berço,L0519-L0520,Judite,"Astrologia como retórica de queixa. Judite constrói uma biografia falsa em romance cantado, e a metáfora fatalista é o que a torna verosímil ao ouvido do tirano."
R065,hipérbole,não ficará pedra sobre pedra desta enfeliz cidade de Betúlia,L0566-L0568,Olofernes,A promessa de arrasamento é feita como galanteio: a destruição de uma cidade oferecida a uma mulher como prova de afecto. A hipérbole tem aqui função erótica.
R066,anacronismo,E que função terão os rapazes na Cotovia com tanta pedra?,L0569-L0570,Mestre-Sala,O aparte reduz o arrasamento de Betúlia a matéria-prima para as pedradas dos rapazes de um bairro lisboeta. É o mecanismo central do papel: rebaixar o bíblico à rua do espectador.
R067,ironia,Cuidado nisso.,L0573,Mestre-Sala,Duas palavras respondem a uma ameaça de genocídio. O laconismo do criado desactiva a retórica do amo com mais eficácia do que qualquer réplica longa.
R068,metáfora,a tua fromusura me tem arrebatado de tal sorte que já não sei parte de mim,L0586-L0588,Olofernes,O tirano descreve-se como território conquistado. A metáfora inverte a relação de poder antes de a acção o fazer: quem cerca cidades é cercado.
R069,ironia,Foram-se os gulosos mas foram bem convidados,L0613-L0614,Mestre-Sala,O criado avalia o banquete pela perspectiva do que sobra. A ironia sobre a gula dos senhores é também constatação de fome própria.
R070,trocadilho,Vossa mercê não sabe que acessório séquito porém cipa-me cipale,L0625-L0626,Mestre-Sala,Latim macarrónico usado como arma de galanteio. Não comunica: exibe — e a Velha desmascara-o na fala seguinte.
R071,ironia,ei sei cá latim!,L0627,Velha,A ignorância declarada derrota a erudição fingida. A resposta é o momento em que a peça toma partido pelo saber popular contra a exibição letrada.
R072,anáfora,"não repara nestas cãs, não vê esta prespicácia",L0635-L0637,Velha,A dupla negação invoca a autoridade da idade. A Velha reivindica respeito com os mesmos argumentos com que a peça a torna ridícula.
R073,anáfora,Farei com que mais não fale farei com que mais não diga e lhe arrancarei esses olhos,L0648-L0650,Velha,"Gradação de ameaças que sobe da palavra ao corpo. A anáfora dá à fúria da velha uma forma retórica quase litúrgica, o que aumenta o efeito cómico."
R074,metáfora,vai-te negra cristaleira do inferno,L0654,Mestre-Sala,A injúria identifica a velha com o ofício de aplicar clisteres. O corpo feminino envelhecido é reduzido a função escatológica — o registo mais violento do papel.
R075,hipérbole,Traze-me para aqui um bom alguidar de sopas com seiscentas rodas de paio,L0659-L0660,Mestre-Sala,O número redondo e absurdo mede a fome. A hipérbole alimentar é o contraponto exacto da hipérbole destrutiva de Olofernes (L0435).
R076,trocadilho,Quem te alinhavara o corpo co uma faca,L0664-L0665,Mestre-Sala,"O criado devolve ao cozinheiro a palavra que este acabara de usar para o cozido («alinhavado», L0663), transferindo-a da costura para o golpe. A ameaça nasce do léxico do outro."
R077,anáfora,"Queimado sejas tu, venha a olha... Apodrecidos sejam os teus olhos",L0667-L0669,Mestre-Sala,Cada resposta do Preto é convertida em maldição pela repetição do particípio. O diálogo funciona como máquina: o que falta à cozinha volta como praga.
R078,ironia,"Nos copa de meu senhor Oslofernes há muntas cosas, há pão, há vinho",L0671-L0672,Preto (criado de Olofernes),"Depois de negar tudo, o cozinheiro aponta a despensa do amo. A fala expõe, sem o dizer, que a escassez dos criados coexiste com a abundância do senhor."
R079,eufemismo,"dormindo está, eterno há de ser o seu descanso",L0689-L0690,Judite,"O sono desliza para a morte no espaço de uma vírgula. O eufemismo é idêntico em função ao de Caim (L0239), com valoração moral oposta."
R080,apóstrofe,morre ó mostro da tirania não blazones de atrevido quando uma molher te osurpa os assentos,L0692-L0694,Judite,O golpe é acompanhado de sentença. «Assentos» retoma pela terceira vez a palavra que Luzbel quis ocupar (L0040) e que São Miguel lhe negou (L0053): a inversão hierárquica fecha aqui o seu ciclo.
R081,comparação,"Oh valerosa Pantalisea, bote, bote aqui neste avental que eu levo lá para dentro",L0695-L0696,Velha,Judite é saudada como Pentesileia e no mesmo fôlego convidada a pôr a cabeça num avental. A queda do registo épico para o doméstico é o mais eficaz bathos do papel.
R082,ironia,Quem havia de ser senão aquela caganita que lhe levou a cabeça,L0707-L0708,Mestre-Sala,"O tiranicídio é reportado em linguagem de insulto de rua. O criado retira à heroína a solenidade que o texto sério lhe atribui, e a peça deixa as duas leituras coexistir."
R083,hipérbole,aqui tens a cabeça mais ferina,L0719,Judite,"Superlativo que transforma o despojo em prova pública. A oitava final devolve o passo ao registo elevado, apagando o entremez que acabara de decorrer."
R084,apóstrofe,"Descuidados pastores, ter sentido, despertai desse sono tão profundo",L0733-L0734,Anjo,"O anúncio começa por repreensão. O sono dos pastores é o mesmo descuido moral de que a peça vem tratando desde Adão, e o despertar vale por conversão."
R085,anáfora,"Já o Céu glória em si está possuindo, já os homens tem paz, gosto jocundo",L0737-L0738,Anjo,A dupla anáfora do «já» marca a mudança de tempo teológico: o que era espera passa a estado presente. É a articulação que justifica todos os passos anteriores.
R086,antítese,ou será favor do Céu ou é sonho do sentido,L0747-L0748,Alceto,"Fala colectiva dos pastores. A alternativa entre revelação e ilusão é resolvida pela verificação («pois eu os olhos abrindo», L0750), procedimento que dá ao milagre o estatuto de facto testemunhado."
R087,metáfora,vi encaminhar-se ao Céu um celeste paranifo,L0751-L0752,Alceto,"«Paraninfo» — o que conduz a noiva — aplica ao anjo vocabulário de núpcias, alusão à união entre o divino e o humano que o Natal celebra."
R088,antítese,"Tens do céu estimação, arruinado idifício, pois em ti nasce o prencípio para a nossa salvação",L0765-L0768,Alceto,"A ruína material é a condição da elevação espiritual. Esta antítese é a formulação central da teologia do presépio e responde, ponto por ponto, à ruína de Betúlia."
R089,anáfora,Quanto posso e quanto tenho desde já fica ofrecido,L0771-L0772,Alceto,"A oferta define-se por totalidade, não por quantidade. A anáfora mede a dádiva pela capacidade e não pelo valor — doutrina que Anfriso completará oferecendo a pobreza."
R090,metáfora,só por ser ademetido ao vosso santo rebenho,L0773-L0774,Alceto,O pastor pede para ser ovelha. A inversão de papéis dentro da própria metáfora pastoril é o modo como o passo articula ofício real e figura religiosa.
R091,apóstrofe,"Oh, ditosas porfecias de alto mistério profundo",L0785-L0786,Amador,"A invocação dirige-se às profecias e não a Deus: o que se celebra é o cumprimento de um texto, o que faz do presépio a última cena de uma escritura."
R092,antítese,"para ter fim todo o mal, é nascido o nosso bem",L0797-L0798,Florindo,"Fecho doutrinal da adoração, com paralelismo perfeito entre mal e bem. Encerra a série de antíteses aberta em L0169 pela auto-acusação de Adão."
R093,hipérbole,Todas as horas e dias seja o louvor de contínuo,L0789-L0790,Amador,A totalidade temporal do louvor responde à totalidade da oferta (L0771). Os quatro pastores repartem entre si os modos possíveis de dar.
R094,apóstrofe,"Ah tempos, tempos, como estais virsificados dos antigos tempos!",L0818,Manuel Gonçalves,"Tópico do elogio do tempo antigo, transposto para a boca de um pescador. A queixa geracional abre o monólogo e legitima a evocação nostálgica que se segue."
R095,ironia,Qui seja possibli que estes labutem nos destranques e que eu ande chafurdando na obra da arca,L0818,Manuel Gonçalves,"Fala metateatral: o actor queixa-se do serviço que lhe dá a máquina do dilúvio. É a prova interna mais forte de que este monólogo é a «parte» anunciada em L0289, dentro do passo de Noé."
R096,comparação,uma delas era mocetona como um barco,L0818,Manuel Gonçalves,"O corpo feminino medido em tonelagem. A comparação instala o campo náutico que organizará todo o monólogo, do vestuário à correspondência amorosa."
R097,metáfora,"era um camezote de Holanda, de vela de navios, com punhos e bofes de casa de traquete",L0818,Manuel Gonçalves,A camisa é descrita peça a peça como aparelho de navio. O luxo é dito no único vocabulário técnico que o falante possui — o que é simultaneamente cómico e socialmente exacto.
R098,enumeração,"pondem-se-á 3 casões, 20 arraias, 18 safios, 30 eroses , 60 caxuxos, e de sardinhas 500",L0818,Manuel Gonçalves,"Inventário de pescado com quantidades crescentes. A enumeração serve de prova de amor e é, ao mesmo tempo, o documento lexical mais rico do papel sobre a pesca da costa."
R099,trocadilho,te rimeto esse despigo pois ainda me não despigo,L0821-L0822,Manuel Gonçalves,Paronomásia entre o despojo de pescado e o despicar-se amoroso. A décima do pescador constrói-se inteira sobre este tipo de duplo sentido técnico-afectivo.
R100,metáfora,pois vai com o sangue na guelra,L0829,Manuel Gonçalves,"A frescura do peixe garante a frescura do amor. A metáfora funde por completo o campo do ofício e o do sentimento, sem resto."
R101,trocadilho,"pois na compra do carinho, ninguém me tira do lanço",L0832-L0833,Manuel Gonçalves,«Lanço» é ao mesmo tempo o lance da rede e o lance do leilão. O afecto é dito como transacção em que o falante não se deixa cobrir.
R102,trocadilho,só contigo mi trismalho,L0839,Manuel Gonçalves,O trasmalho é a rede de três malhas e «tresmalhar-se» é perder-se. O verso condensa em três palavras a arte e o desnorte amoroso.
R103,alegoria,"Fichi a carta e miti a chavi n'alzibeira, embarquei-a no paquete, largou este o passo todo, foi bolinando por i fora, chegou à porta da moça, pouse a capa, fez sinal à fortaleza",L0841,Manuel Gonçalves,"A entrega da carta é narrada como viagem completa de embarcação, com manobra, aproximação e sinal à fortaleza. É a alegoria mais desenvolvida do papel e transforma um recado numa campanha naval."
R104,metáfora,"cingi a farrusca a balravento, mandi abri os embornais nos sapatos, pus o galério no topi, virei o gajeiro para a parte esquerda",L0841,Manuel Gonçalves,"O corpo vestido é aparelhado como navio, do calçado ao chapéu. O léxico náutico converte-se aqui em código de elegância popular."
R105,hipérbole,só os bofes afogados podiam encher todas as tavernas do mal cozinhado,L0841,Manuel Gonçalves,Os folhos da camisa dariam para abastecer as casas de comida da Ribeira. A hipérbole mede o traje pela geografia comercial de Lisboa.
R106,ironia,"mas isperi, com quem falo eu",L0841,Manuel Gonçalves,Interrupção metateatral que devolve o falante à consciência do público. Fecha o monólogo com a mesma quebra de ilusão com que ele começara (L0818).
R107,metáfora,vamos entrando na palesta de Cupido,L0861,Chantre,A portaria do convento é declarada palestra — lugar de combate e de exercício. O galanteio é enquadrado desde a primeira fala como desporto regrado.
R108,antítese,"que sendo esta portaria aula de amorosos certames, se veja agora teatro de mercancias",L0861,Chantre,Contraste entre o passado cortês e o presente comercial da mesma grade. A palavra «teatro» acrescenta uma camada metateatral à sátira do freiratismo.
R109,metáfora,os frios corações de afectos perseverantes vinham buscar calor no moratório aos raios de tantos sóis que garnecem esta clausura,L0861,Chantre,"As freiras são sóis e a clausura é braseiro. A metáfora petrarquista é aplicada com toda a seriedade a um espaço religioso, e é dessa impropriedade que nasce a sátira."
R110,metáfora,"Se a enfirmidade de amor precisa de junta, aqui está um doutor",L0867,Doutor,O amor como doença que requer junta médica. A isotopia clínica atravessará todo o passo e permite ao Doutor tratar sentimentos como sintomas.
R111,metáfora,ainda não está enferma a nossa conrespondência,L0869,Chantre,O Chantre aceita a metáfora do outro e continua-a. A amizade é diagnosticada como se fosse corpo — sinal de que os dois falam a mesma língua paródica.
R112,trocadilho,"Função rija? De que é, de pau do Brasil?",L0871,Doutor,"O adjectivo «rija» é desviado do sentido de solene para o de dura, e daí para a madeira colonial. O equívoco obsceno funciona por deslize material."
R113,trocadilho,Por que mandaste vir algum romendão? Ora estimo pois também quero o meu romendo,L0875,Doutor,Jogo entre o músico remendão e o remendo. A resposta rebaixa o concerto anunciado a trabalho de costura.
R114,sátira,"Tudo o que é asneira é despidido juízo, pois na loucura não se dá acto de descurso Ergo; é vossa mercê um pedaço d'asno",L0883,Doutor,"Silogismo escolástico completo, com «Ergo» incluído, ao serviço de um insulto. É o núcleo intelectual do entremez: a lógica das escolas exibida como maquinaria vazia."
R115,hipérbole,"Quem, por destino dos astros, vem comprir o fado desta portaria",L0889-L0890,Chantre,Resposta a uma porteira formulada em estilo de tragédia. O desajuste entre a grandeza do enunciado e a banalidade da situação é o método cómico do passo.
R116,metáfora,É forte lobisomi,L0892,Doutor,"Aparte que classifica o companheiro como criatura nocturna. O Doutor comenta à parte tudo o que o Chantre diz a sério, mantendo o público do seu lado."
R117,ironia,"Se a saúde tem notícia dela, pregoa/prego-a no mar",L0896,Doutor,"A saúde da freira é dada por perdida numa fórmula de escárnio marítimo. A barra é do transcritor e assinala leitura dupla, não uma escolha do texto."
R118,ironia,estimarei que vossa senhoria conte dilatados anos só para vir a ser desengano das idades,L0900,Doutor,O voto de vida longa converte-se em insulto pela finalidade que lhe é dada. É a construção irónica mais fina do papel: a cortesia usada como veículo exacto da ofensa.
R119,ironia,"Não, minha senhora, mas está já muito alquebrada",L0904,Doutor,"A negação atenuante agrava o insulto anterior. O par pergunta/resposta mostra que a vítima entende, o que aumenta a crueldade cómica."
R120,hipérbole,Isso é uma traquinada de cacos que vinha da botica,L0922,Galego,O criado reporta a medicação como estrondo de louça. A deformação popular do vocabulário médico caracteriza-o socialmente e ridiculariza a farmacopeia.
R121,ironia,"Ó galego, teu amo quer pôr agora loje de sabão!",L0924,Doutor,"Do relato dos frascos deduz-se um negócio de sabão. O Doutor troça do criado e, por tabela, do amo que o emprega."
R122,ironia,"Vai, que eu cá a irei temperando",L0932,Doutor,"O verbo oscila entre acalmar e afinar, com evidente insinuação. O médico oferece-se para cuidar da prima na ausência do primo."
R123,hipérbole,"quem ama, os minutos lhe parece itirnidade",L0952,Freira,"Tópico petrarquista do tempo dilatado, dito com toda a seriedade dentro de uma cena cómica. A Freira é a única personagem do passo que não faz troça de ninguém."
R124,sátira,"Ah, que a freira quer ter cachorrinho de fralda a toda a hora",L0954,Doutor,"O primo é reduzido a animal de regaço. A imagem satiriza de um golpe o freiratismo, a ociosidade conventual e a masculinidade do Chantre."
R125,sátira,seriam poucos todos os gorgomilos para poblicar a glória que tenho de ver a vossa senhoria,L0958,Doutor,"Paródia do estilo cultista levada ao limite do inteligível. O excesso de ornamento denuncia-se a si próprio, e o cumprimento não chega a significar nada."
R126,comparação,Seu primo parece-me um bonecro,L0962,Doutor,O Chantre é comparado a um boneco. A redução a objecto articulado prepara o soneto ridículo que ele próprio vai declamar.
R127,enumeração,"Durmo pouco, ando sempre com mil pressas, visto às vezes as meias às avessas, não sei o que vou ler no bribiário",L0975-L0977,Chantre,Catálogo de sintomas amorosos rebaixado do sofrimento cortês para o desmazelo doméstico. A meia às avessas substitui as insónias de Petrarca.
R128,sátira,fui marrar outro dia com um almário,L0981-L0982,Chantre,O soneto amoroso termina com uma cabeçada num armário. O bathos final desmonta os treze versos anteriores e é a assinatura cómica do passo.
